Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,34085.6346
1_2_2012-11-02,47899.8586
1_3_2012-11-02,11311.3976
1_4_2012-11-02,38348.2459
1_5_2012-11-02,31747.384
1_6_2012-11-02,4860.8155
1_7_2012-11-02,24531.1785
1_8_2012-11-02,38560.9841
1_9_2012-11-02,41895.9977
1_10_2012-11-02,31249.7251
1_11_2012-11-02,26541.1843
1_12_2012-11-02,10031.1577
1_13_2012-11-02,42917.1486
1_14_2012-11-02,14829.0307
1_16_2012-11-02,6207.7302
1_17_2012-11-02,8797.0545
1_18_2012-11-02,13417.2635
1_19_2012-11-02,1037.7691
1_20_2012-11-02,3551.4677
1_21_2012-11-02,8417.5824
1_22_2012-11-02,7908.5798
1_23_2012-11-02,24018.4357
1_24_2012-11-02,6506.8716
1_25_2012-11-02,10790.5464
1_26_2012-11-02,7819.3932
1_27_2012-11-02,1844.9197
1_28_2012-11-02,772.0533
1_29_2012-11-02,4884.6504
1_30_2012-11-02,2459.8182
1_31_2012-11-02,1870.011
1_32_2012-11-02,6751.1641
1_33_2012-11-02,6358.0015
1_34_2012-11-02,11761.0363
1_35_2012-11-02,2557.6808
1_36_2012-11-02,2022.1361
1_37_2012-11-02,2867.4914
1_38_2012-11-02,86925.9943
1_40_2012-11-02,62722.1358
1_41_2012-11-02,1199.1902
1_42_2012-11-02,8161.577
1_44_2012-11-02,6091.5037
1_46_2012-11-02,18708.4042
1_48_2012-11-02,2237.61
1_49_2012-11-02,9837.5273
1_52_2012-11-02,2134.0481
1_55_2012-11-02,13371.4895
1_56_2012-11-02,1203.9306
1_58_2012-11-02,3046.5388
1_59_2012-11-02,666.2084
1_60_2012-11-02,1228.366
1_67_2012-11-02,6472.9626
1_71_2012-11-02,2695.5962
1_72_2012-11-02,53378.202
1_74_2012-11-02,9727.7534
1_79_2012-11-02,43290.6693
1_80_2012-11-02,19179.5378
1_81_2012-11-02,31220.1634
1_82_2012-11-02,19995.8054
